"Menu","Resto","Nutri score","Eco score","Vegetarien spcécifé","Origine","Prix etudiant","Prix doctorant","Prix visiteur","Prix campus","Prix /100g","Prix etudiant /100g","Prix unique","Prix demi portion","Prix (non traité)","date"
"Buffet chaud du moment:
Assortiment de légumes, ravioles, viandes braisées, gratin...Origin: CH","Piano","b-","e","","CH","","","","","2.9","","","","2.90 CHF/100g","10/19/2022"
"Creamy risotto casserole with artichokes vegetarian","Piano","c","d","1","","8.1","8.8","11.3","9.9","","","","","E 8.10 CHFD 8.80 CHFC 9.90 CHFV 11.30 CHF","10/19/2022"
"Buffet froid du moment:
Assortiment de crudités, cuidités, féculent,pizzas, protéines...Origin: CH","Piano","a-","e","","CH","","","","","2.9","","","","2.90 CHF/100g","10/19/2022"
"Salade verte Fruits frais au choixFarfalle, tomates, rucola et Mozzarella vegetarian","Piano","b+","c","1","","9.7","12.1","15.2","13.2","","","","","E 9.70 CHFD 12.10 CHFC 13.20 CHFV 15.20 CHF","10/19/2022"
"Pizza aux champignons vegetarian","Satellite","","","1","","","","","","","","4.50","","4.50 CHF","10/19/2022"
"Tartine chaude - Végé
Légumes grillés, mozzarella vegetarian","Satellite","","","1","","","","","","","","5.00","","5.00 CHF","10/19/2022"
"Sandwichs
Végan, Végétarien, Crudités, Pomme-noix, Fromage aux herbes, Chèvre, Parmesan, Gruyère, Jambon-fromage, Jambon, Roastbeef, Viande séchée parmesan, Chorizo, Saumon","Satellite","","","","","","","","","","","5.00","","5.00 CHF","10/19/2022"
"RICE POKE BOWLS
(Riz sushi, jeunes pousses, Carottes colorées, Choux fleur pickles, Radis, Concombre, Julienne de pois gourmand, Wakame, Pousse de soja, Tofu frit et Crevette panées coco, Tempura de légumes)Origin: CH / Thaïlande","Zaha","a-","e","","CH / Thaïlande","12.5","13.8","15.8","13.8","","","D 13.80","8.2","D 13.80 CHFC 13.80 CHFV 15.80 CHF½ 8.20 CHFE 12.50 CHF","10/19/2022"
"NODDLES POE BOWLS
(Nouilles Soba, Maïs et pois, Choux rouges, Pousse mango, Julienne de pois gourmand, Basilic Thaï, Carottes croquantes et Tofu frit) vegetarian","Zaha","b+","c","1","","12.5","13.8","15.8","13.8","","","D 13.80","8.2","D 13.80 CHFC 13.80 CHFV 15.80 CHFE 12.50 CHF½ 8.20 CHF","10/19/2022"
"Crème de Haricots Secs braisés
Garnitures d'accompagnement","Alpine","c","c","","","8.1","8.8","11.3","9.9","","","","","E 8.10 CHFD 8.80 CHFC 9.90 CHFV 11.30 CHF","10/20/2022"
"Ragoût de légumes de saison à la Provençale
Semoule au thym","Alpine","c+","b","","","8.6","9.9","12.4","11","","","","","E 8.60 CHFD 9.90 CHFC 11.00 CHFV 12.40 CHF","10/20/2022"
"Tofu Piccata with Napoli sauce
Farfalle
Steamed broccoli","Alpine","a","c","","","11.5","12","13.5","12.5","","","","","D 12.00 CHFE 11.50 CHFC 12.50 CHFV 13.50 CHF","10/20/2022"
"Valaisan cheese crust, fried egg
Tomato Garnishes
Salad of the moment","Alpine","d-","d","","","12.5","13","14.5","13.5","","","","","E 12.50 CHFD 13.00 CHFC 13.50 CHFV 14.50 CHF","10/20/2022"
"Tortelli with boletus, tomato basil and bell pepper sauce vegetarian","Arcadie","b","c","1","","","","","","2.6"," 2.40","","","2.60 CHF/100gE 2.40 CHF","10/20/2022"
"Farfalle with pesto verde, vegetable brunoise and spinach shoots vegetarian","Arcadie","a","c","1","","10","12","12","12","","","","","E 10.00 CHFD 12.00 CHFC 12.00 CHFV 12.00 CHF","10/20/2022"
"Salade de pâtes, chou de Bruxelles, carottes, courge et ricotta vegetarian","Arcadie","a","c","1","","","","","","","","10.50","","10.50 CHF","10/20/2022"
"Durum wheat gnocchi gratin with ratatouille vegetables and 4 cheese sauce vegetarian","Arcadie","a-","c","1","","5.9","7","9","8","","","","","E 5.90 CHFD 7.00 CHFC 8.00 CHFV 9.00 CHF","10/20/2022"
"Palak paneer (spinach formage), daal, raita, rice","Chez Bilia - food truck","","","","","","","","","","","14.00","7","14.00 CHF½ 7.00 CHF","10/20/2022"
"Allo Matar (potatoes and peas), daal, raïta, rice","Chez Bilia - food truck","","","","","","","","","","","12.00","7","12.00 CHF½ 7.00 CHF","10/20/2022"
"[Formule En-Cas] 1 Croque-Monsieur ou 1 Ramequin + 1 salade verte","Cyber café SV by Novae","","","","","","","","","","","4.00","","4.00 CHF","10/20/2022"
"[Formule Popote] 1 Croque-Monsieur ou 1 Ramequin + 1 petite soupe du jour + 1 salade verte","Cyber café SV by Novae","","","","","","","","","","","7.90","","7.90 CHF","10/20/2022"
"[Formule Complète] 1 Croque-Monsieur ou 1 Ramequin + 1 petite soupe du jour + 1 salade verte + 1 part de tarte au choix","Cyber café SV by Novae","","","","","","","","","","","11.00","","11.00 CHF","10/20/2022"
"Spanakopita ""maison""
(Friand aux épinards)","Esplanade","b-","c","","","8.6","9.9","12.4","11","","","","","E 8.60 CHFD 9.90 CHFC 11.00 CHFV 12.40 CHF","10/20/2022"
"Salade FALAFEL:
Salade, Falafel, Carottes, Concombre, Yogourt, Olives, Pita, Coriandre vegetarian","Giacometti","b+","d","1","","","","","","","","9.00","","9.00 CHF","10/20/2022"
"Salade ITALIENNE:
Salade, Mozzarella, Tomates, Olives, Penne, Basilic, Croutons, Pesto vegetarian","Giacometti","b+","d","1","","","","","","","","9.00","","9.00 CHF","10/20/2022"
"our g vegetarian","Giacometti","b-","e","1","","","","","","","","8.00","","8.00 CHF","10/20/2022"
"Vegetarian Banh Bao
Vegetable Wok","Ginko","b","c","","","11.5","12","13.5","12.5","","","","","E 11.50 CHFD 12.00 CHFC 12.50 CHFV 13.50 CHF","10/20/2022"
"Lebanese Veggie Burger (PITA)Origin: CH vegetarian","Hopper","a-","d","1","CH vegetarian","","","","","","","14.50","","14.50 CHF","10/20/2022"
"Gnocchi alla Sorentina et Grana Padano vegetarian","Hopper","b","d","1","","8.6","9.9","13.5","11","","","","","E 8.60 CHFD 9.90 CHFC 11.00 CHFV 13.50 CHF","10/20/2022"
"Salade verte Fruits frais au choixGnocchi alla Sorentina et Grana Padano vegetarian","Hopper","b+","c","1","","9.7","12.1","15.2","13.2","","","","","E 9.70 CHFD 12.10 CHFC 13.20 CHFV 15.20 CHF","10/20/2022"
"Tacos végétarien (Haché végétarien, Cheddar, Maïs et sauce tomate) vegetarian","Hopper","b+","c","1","","8.1","9.9","13.6","11","","","","","E 8.10 CHFD 9.90 CHFC 11.00 CHFV 13.60 CHF","10/20/2022"
"Chicken leg
Devil's sauce
Boulgour
Gratin of chard ribsOrigin: CH","La Ruche","a+","e","","CH","11","12","14","13","","","","","E 11.00 CHFD 12.00 CHFC 13.00 CHFV 14.00 CHF","10/20/2022"
"Risotto with Grana Padano","La Ruche","a","c","","","10","11","13","12","","","","","E 10.00 CHFD 11.00 CHFC 12.00 CHFV 13.00 CHF","10/20/2022"
"Poêlée de spätzli
Courge et marron","La Ruche","a","c","","","7.5","12","12","12","","","","","E 7.50 CHFD 12.00 CHFC 12.00 CHFV 12.00 CHF","10/20/2022"
"[Mexican Veggie Burger] Pain bun, mayonnaise au curry, cheddar, tomates, sucrine, galette de haricots rouges et coriandre - Servi avec Twisted potatoes ou Légumes ou Salade mêlée
 vegetarian","La Table de Vallotton by Novae","b","c","1","","13","16","16","16","","","","","E 13.00 CHFD 16.00 CHFC 16.00 CHFV 16.00 CHF","10/20/2022"
"[La Pasta Veggie] Penne, champignon du moment, crème de Grana Padano, roquette, chips de parmesan vegetarian","La Table de Vallotton by Novae","a-","c","1","","13","16","16","16","","","","","E 13.00 CHFD 16.00 CHFC 16.00 CHFV 16.00 CHF","10/20/2022"
"[La Cocotte veggie] Semoule de blé, citron confit, pois chiche, courgettes, carottes et radis bière, bouillon aux épices vegetarian","La Table de Vallotton by Novae","b+","c","1","","17","20","20","20","","","","","E 17.00 CHFD 20.00 CHFC 20.00 CHFV 20.00 CHF","10/20/2022"
"[La Salade Veggie] Salade César avec sucrine, tomates cerises, parmesan, croûtons, sauce César, quorn, oeuf
 vegetarian","La Table de Vallotton by Novae","b+","d","1","","15","18","18","18","","","","","E 15.00 CHFD 18.00 CHFC 18.00 CHFV 18.00 CHF","10/20/2022"
"[La Pièce du Primeur] Aubergine grillée, jus corsé curry-tomate, riz jasmin parfumé à la cannelle, sauce raïta vegetarian","La Table de Vallotton by Novae","b","c","1","","19","22","22","22","","","","","E 19.00 CHFD 22.00 CHFC 22.00 CHFV 22.00 CHF","10/20/2022"
"[Les Douceurs] Sélection de desserts ""signature"" à l'assiette","La Table de Vallotton by Novae","","","","","7","8","8","8","","","","","E 7.00 CHFD 8.00 CHFC 8.00 CHFV 8.00 CHF","10/20/2022"
"Indian Curry , fragrant rice, quorn , vegetables","Le Klee by Novae","a","d","","","","","","","","","","","Le Klee by Novae","10/20/2022"
"Etudiant(e)","Maharaja - Food Truck","","","","","6.5","","","","","","E 6.50","","E 6.50 CHF","10/20/2022"
"Eggplant with cheese, Basmati rice, Raita vegetarian","Maharaja - Food Truck","c-","d","1","","","","","","","","","","Maharaja - Food Truck","10/20/2022"
"Dumplings with Korma vegetablesOrigin: eu","Maharaja - Food Truck","a","d","","eu","","","","","","","","","Maharaja - Food Truck","10/20/2022"
"Broccoli with almonds","Maharaja - Food Truck","a","d","","","","","","","","","","","Maharaja - Food Truck","10/20/2022"
"Tartiflette with reblochon cheese, bacon and mesclun saladOrigin: suisse","Microcity","b","c","","suisse","10.5","12","14","13","","","","","E 10.50 CHFD 12.00 CHFC 13.00 CHFV 14.00 CHF","10/20/2022"
"Quorn stuffed peppers, Neapolitan sauce, basmati rice vegetarian","Microcity","a","c","1","","10.5","12","14","13","","","","","E 10.50 CHFD 12.00 CHFC 13.00 CHFV 14.00 CHF","10/20/2022"
"Omelette au gruyère et fines herbes, pommes de terre rôties","Microcity","b-","b","","","8.1","8.8","11.3","9.9","","","","","E 8.10 CHFD 8.80 CHFC 9.90 CHFV 11.30 CHF","10/20/2022"
"Salade Niçoise: tomates, poivrons, oeufs, pommes de terre, haricots verts, crudités et thon","Microcity","b+","b","","","12","12","12","12","","","","","E 12.00 CHFD 12.00 CHFC 12.00 CHFV 12.00 CHF","10/20/2022"
"Bowl Végétarien","Montreux Jazz Café","b+","d","","","","","","","","","","","Montreux Jazz Café","10/20/2022"
"Chunks by Native, bulgur with crispy vegetables
Roasted parsnips with maple syrup, carrot sauce and organic rice milk vegan","Native","a","d","","","11.3","12.1","14.1","12.6","","","","","D 12.10 CHFC 12.60 CHFV 14.10 CHFE 11.30 CHF","10/20/2022"
"Buffet Vegan et Végétarien Froid et chaud
Salade, Légumineuses, Céréales, 
Racines, Légumes frais, Champignons
Origin: suisse vegetarian","Native","","","1","suisse vegetarian","","","","","2.5","","","","2.50 CHF/100g","10/20/2022"
"Notre bar à crêpes toute la journée 
(Caramel beurre salé, banane, citron sucre, Chocolat...)","Niki","c-","c","","","","","","","","","5.00","","5.00 CHF","10/20/2022"
"Gaufre party toute la journée 
(Caramel beurre salé, banane, citron sucre, Chocolat...)","Niki","c-","d","","","","","","","","","5.00","","5.00 CHF","10/20/2022"
"Gnocchi gratinés aux 4 fromages vegetarian","Ornithorynque","a-","c","1","","8","9.5","10.9","9.9","","","","","E 8.00 CHFD 9.50 CHFC 9.90 CHFV 10.90 CHF","10/20/2022"
"[Veggie'Burger] Spelt and provolone patty, tomatoes, batavia, cocktail sauce - served with roasted potatoes vegetarian","Ornithorynque","b-","d","1","","9.5","10.5","12","11","","","","","E 9.50 CHFD 10.50 CHFC 11.00 CHFV 12.00 CHF","10/20/2022"
"[Salad'Bar Veggie] Végétarien et vegan - Composez vous-même votre salade - Sélection de salades composées, crudités, légumineuses, céréales, condiments, protéines végétales vegetarian","Ornithorynque","b","b","1","","","","","","2.5"," 2.30","","","2.50 CHF/100gE 2.30 CHF","10/20/2022"
"[Ramen] Vegetarian gyoza, teriyaki sauce, fried noodles with Asian vegetables vegetarian","Ornithorynque","a","c","1","","10.5","11.5","14","13","","","","","E 10.50 CHFD 11.50 CHFC 13.00 CHFV 14.00 CHF","10/20/2022"
"Wok de riz sauté à la cantonaise, soja et cacahuètes vegetarian","Ornithorynque","a-","c","1","","7","8","10","8.8","","","","","E 7.00 CHFD 8.00 CHFC 8.80 CHFV 10.00 CHF","10/20/2022"
"Chinese noodles, fried Asian vegetables and beans in teriyaki sauce","PUUR","b","c","","","","","","","","","14.90","","14.90 CHF","10/20/2022"
"Duo of Gnocchi with feta cream, black olives, zucchini tartar and spring onions vegetarian","PUUR","a-","d","1","","","","","","","","14.90","","14.90 CHF","10/20/2022"
"Homemade fresh pasta with boletus and baby boletus, Grana Padano cream","PUUR","a","d","","","","","","","","","13.90","","13.90 CHF","10/20/2022"
"Rumsteak de boeuf sauce béarnaise  pommes frites et salade verteOrigin: CH","PUUR","b-","e","","CH","","","","","","","","","PUUR","10/20/2022"
"Buffet de salade","PUUR","","","","","","","","","3.1","","","","3.10 CHF/100g","10/20/2022"
"Gnocchi alla Sorentina and Grana Padano vegetarian","Piano","b","d","1","","8.6","9.9","13.5","11","","","","","E 8.60 CHFD 9.90 CHFC 11.00 CHFV 13.50 CHF","10/20/2022"
"lasagne vegetarian","Piano","a-","c","1","","12.5","13.8","14.9","13.8","","","","","E 12.50 CHFD 13.80 CHFC 13.80 CHFV 14.90 CHF","10/20/2022"
"Grillade Végétarienne:
Steak de légumes  vegetarian","Piano","b","c","1","","","","","","","","9.30","","9.30 CHF","10/20/2022"
"Our map vegetarian","Piano","b-","d","1","","","","","","","","14.90","","14.90 CHF","10/20/2022"
"buffet vegetarian","Piano","b-","e","1","","","","","","2.9","","","","2.90 CHF/100g","10/20/2022"
"Farfalle casserole with pesto and mozarella vegetarian","Piano","c+","c","1","","8.1","8.8","11.3","9.9","","","","","E 8.10 CHFD 8.80 CHFC 9.90 CHFV 11.30 CHF","10/20/2022"
"Cold veggie buffet of the moment:
Assortment of raw vegetables, cooked, starch, proteins... vegetarian","Piano","b+","c","1","","","","","","2.9","","","","2.90 CHF/100g","10/20/2022"
"Salade verte Fruits frais au choixGnocchi alla Sorentina et Grana Padano vegetarian","Piano","b+","c","1","","9.7","12.1","15.2","13.2","","","","","E 9.70 CHFD 12.10 CHFC 13.20 CHFV 15.20 CHF","10/20/2022"
"Pizza curry & tofu vegetarian","Satellite","","","1","","","","","","","","4.50","","4.50 CHF","10/20/2022"
"Tartine chaude - Camembert vegetarian","Satellite","","","1","","","","","","","","5.00","","5.00 CHF","10/20/2022"
"Sandwichs végétariens
Végan, Végétarien, Crudités, Pomme-noix, Fromage aux herbes, Chèvre, Parmesan, Gruyère vegetarian","Satellite","","","1","","","","","","","","5.00","","5.00 CHF","10/20/2022"
"RICE POKE BOWLS
(Riz sushi, jeunes pousses, Carottes colorées, Choux fleur pickles, Radis, Concombre, Julienne de pois gourmand, Wakame, Pousse de soja, Tofu frit et Crevette panées coco, Tempura de légumes)Origin: CH / Thaïlande","Zaha","a-","e","","CH / Thaïlande","12.5","13.8","15.8","13.8","","","D 13.80","8.2","D 13.80 CHFC 13.80 CHFV 15.80 CHF½ 8.20 CHFE 12.50 CHF","10/20/2022"
"NODDLES POE BOWLS
(Nouilles Soba, Maïs et pois, Choux rouges, Pousse mango, Julienne de pois gourmand, Basilic Thaï, Carottes croquantes et Tofu frit) vegetarian","Zaha","b+","c","1","","12.5","13.8","15.8","13.8","","","D 13.80","8.2","D 13.80 CHFC 13.80 CHFV 15.80 CHFE 12.50 CHF½ 8.20 CHF","10/20/2022"
"Crème de Haricots Secs braisés
Garnitures d'accompagnement","Alpine","c","c","","","8.1","8.8","11.3","9.9","","","","","E 8.10 CHFD 8.80 CHFC 9.90 CHFV 11.30 CHF","10/21/2022"
"Boulettes de Bœuf Suisse aux saveurs Thaï
Riz BasmatiOrigin: Suisse","Alpine","b-","d","","Suisse","8.6","9.9","12.4","11","","","","","E 8.60 CHFD 9.90 CHFC 11.00 CHFV 12.40 CHF","10/21/2022"
"Giant Shrimp
virgin oil with citrus and spices
ASC Vietnam
Quinoa IP Switzerland
Vegetable Julienne","Alpine","b+","c","","","12.5","13","14.5","13.5","","","","","D 13.00 CHFE 12.50 CHFC 13.50 CHFV 14.50 CHF","10/21/2022"
"Breaded slice of Swiss Pork with tartar sauce
French fries
Steamed carrot","Alpine","c","e","","","13.5","14","15.5","14.5","","","","","E 13.50 CHFD 14.00 CHFC 14.50 CHFV 15.50 CHF","10/21/2022"
"Fagottini à la mexicaine, sauce tomate au basilic et poivronsOrigin: Suisse","Arcadie","a","e","","Suisse","","","","","2.6"," 2.40","","","2.60 CHF/100gE 2.40 CHF","10/21/2022"
"Farfalle, sauce au thon, ail, citron et pousses d'épinardsOrigin: MSC Vietnam","Arcadie","a","d","","MSC Vietnam","10","12","12","12","","","","","E 10.00 CHFD 12.00 CHFC 12.00 CHFV 12.00 CHF","10/21/2022"
"Salade de pâtes, chou de Bruxelles, carottes, courge et ricotta vegetarian","Arcadie","a","c","1","","","","","","","","10.50","","10.50 CHF","10/21/2022"
"Gratin de gnocchi de blé dur aux légumes ratatouille, sauce aux 4 fromages  vegetarian","Arcadie","a-","c","1","","5.9","7","9","8","","","","","E 5.90 CHFD 7.00 CHFC 8.00 CHFV 9.00 CHF","10/21/2022"
"[Formule En-Cas] 1 Croque-Monsieur ou 1 Ramequin + 1 salade verte","Cyber café SV by Novae","","","","","","","","","","","4.00","","4.00 CHF","10/21/2022"
"[Formule Popote] 1 Croque-Monsieur ou 1 Ramequin + 1 petite soupe du jour + 1 salade verte","Cyber café SV by Novae","","","","","","","","","","","7.90","","7.90 CHF","10/21/2022"
"[Formule Complète] 1 Croque-Monsieur ou 1 Ramequin + 1 petite soupe du jour + 1 salade verte + 1 part de tarte au choix","Cyber café SV by Novae","","","","","","","","","","","11.00","","11.00 CHF","10/21/2022"
"Homemade Gemista
(Tomato and bell pepper stuffed with rice)","Esplanade","b+","b","","","8.6","9.9","12.4","11","","","","","E 8.60 CHFD 9.90 CHFC 11.00 CHFV 12.40 CHF","10/21/2022"
"Salade FALAFEL:
Salade, Falafel, Carottes, Concombre, Yogourt, Olives, Pita, Coriandre vegetarian","Giacometti","b+","d","1","","","","","","","","9.00","","9.00 CHF","10/21/2022"
"Salade ITALIENNE:
Salade, Mozzarella, Tomates, Olives, Penne, Basilic, Croutons, Pesto vegetarian","Giacometti","b+","d","1","","","","","","","","9.00","","9.00 CHF","10/21/2022"
"Salade CHICKEN:
Salade, Poulet rôti, parmesan, croutons, oignons, Tomates, Ciboulette, carottes râpéesOrigin: CH","Giacometti","b+","e","","CH","","","","","","","9.00","","9.00 CHF","10/21/2022"
"Notre gamme de sandwichs:
Assortiment varié (Dinde fumée, tomate mozza...)Origin: CH","Giacometti","b-","e","","CH","","","","","","","8.00","","8.00 CHF","10/21/2022"
"Menu servi à l'Alpine du FoodLab","Ginko","","","","","11.5","12","13.5","12.5","","","","","E 11.50 CHFD 12.00 CHFC 12.50 CHFV 13.50 CHF","10/21/2022"
"Burger de poulet à la Libanaise (PITA)Origin: CH","Hopper","b","e","","CH","","","","","","","14.50","","14.50 CHF","10/21/2022"
"Farfalle crema di zucchini and squid julienne","Hopper","b","d","","","8.6","9.9","13.5","11","","","","","E 8.60 CHFD 9.90 CHFC 11.00 CHFV 13.50 CHF","10/21/2022"
"Salade verte Fruits frais au choixFarfalle crema di zucchini et julienne de calamars","Hopper","a-","c","","","9.7","12.1","15.2","13.2","","","","","E 9.70 CHFD 12.10 CHFC 13.20 CHFV 15.20 CHF","10/21/2022"
"Nuggets de poulet, frites et saladesOrigin: CH","Hopper","d","e","","CH","8.1","9.9","13.6","11","","","","","E 8.10 CHFD 9.90 CHFC 11.00 CHFV 13.60 CHF","10/21/2022"
"Fillet of sea bream
Hollandaise sauce
Semi-wild rice
Origin: FAO 27","La Ruche","a+","c","","FAO 27","11","12","14","13","","","","","E 11.00 CHFD 12.00 CHFC 13.00 CHFV 14.00 CHF","10/21/2022"
"Vol-au-vent
Diced poultry and veal
Onions, mushrooms, carrotsOrigin: CH","La Ruche","a","d","","CH","10","11","13","12","","","","","E 10.00 CHFD 11.00 CHFC 12.00 CHFV 13.00 CHF","10/21/2022"
"Duo de ravioli
Sauce verdura","La Ruche","b+","c","","","7.5","12","12","12","","","","","E 7.50 CHFD 12.00 CHFC 12.00 CHFV 12.00 CHF","10/21/2022"
"[Swiss Burger] Pain bun, crème de moutarde à l’ancienne, gruyère, coleslaw, oignons frits, sucrine, bœuf braisé au vin rouge - Servi avec Twisted potatoes ou Légumes ou Salade mêlée
Origin: Suisse","La Table de Vallotton by Novae","b-","e","","Suisse","13","16","16","16","","","","","E 13.00 CHFD 16.00 CHFC 16.00 CHFV 16.00 CHF","10/21/2022"
"[Mexican Veggie Burger] Pain bun, mayonnaise au curry, cheddar, tomates, sucrine, galette de haricots rouges et coriandre - Servi avec Twisted potatoes ou Légumes ou Salade mêlée
 vegetarian","La Table de Vallotton by Novae","b","c","1","","13","16","16","16","","","","","E 13.00 CHFD 16.00 CHFC 16.00 CHFV 16.00 CHF","10/21/2022"
"[La Pasta] Tagliatelles, champignon du moment, roquette, parmesan, chips de baconOrigin: Suisse","La Table de Vallotton by Novae","d","d","","Suisse","14","17","17","17","","","","","E 14.00 CHFD 17.00 CHFC 17.00 CHFV 17.00 CHF","10/21/2022"
"[La Pasta Veggie] Penne, champignon du moment, crème de Grana Padano, roquette, chips de parmesan vegetarian","La Table de Vallotton by Novae","a-","c","1","","13","16","16","16","","","","","E 13.00 CHFD 16.00 CHFC 16.00 CHFV 16.00 CHF","10/21/2022"
"[La Cocotte] Semoule de blé, citron confit, pois chiche, courgettes, carottes et radis bière, volaille mijotée dans un bouillon aux épices
Origin: Suisse","La Table de Vallotton by Novae","a","e","","Suisse","19","22","22","22","","","","","E 19.00 CHFD 22.00 CHFC 22.00 CHFV 22.00 CHF","10/21/2022"
"[La Cocotte veggie] Semoule de blé, citron confit, pois chiche, courgettes, carottes et radis bière, bouillon aux épices vegetarian","La Table de Vallotton by Novae","b+","c","1","","17","20","20","20","","","","","E 17.00 CHFD 20.00 CHFC 20.00 CHFV 20.00 CHF","10/21/2022"
"[La Salade] Salade César avec sucrine, tomates cerises, parmesan, croûtons, sauce César, aiguillettes de poulet, chips de baconOrigin: Poulet et porc - Suisse","La Table de Vallotton by Novae","b","e","","Poulet et porc - Suisse","15","18","18","18","","","","","E 15.00 CHFD 18.00 CHFC 18.00 CHFV 18.00 CHF","10/21/2022"
"[La Salade Veggie] Salade César avec sucrine, tomates cerises, parmesan, croûtons, sauce César, quorn, oeuf
 vegetarian","La Table de Vallotton by Novae","b+","d","1","","15","18","18","18","","","","","E 15.00 CHFD 18.00 CHFC 18.00 CHFV 18.00 CHF","10/21/2022"
"[La Pièce du Boucher] Entrecôte parisienne (220gr), beurre maître d’hôtel - Servie avec Twisted potatoes ou Légumes ou Salade mêléeOrigin: Suisse","La Table de Vallotton by Novae","c","e","","Suisse","22","25","25","25","","","","","E 22.00 CHFD 25.00 CHFC 25.00 CHFV 25.00 CHF","10/21/2022"
"[La Pièce du Primeur] Aubergine grillée, jus corsé curry-tomate, riz jasmin parfumé à la cannelle, sauce raïta vegetarian","La Table de Vallotton by Novae","b","c","1","","19","22","22","22","","","","","E 19.00 CHFD 22.00 CHFC 22.00 CHFV 22.00 CHF","10/21/2022"
"[Le Ceviche] Coriandre, zestes et jus de citron vert, piment rouge, gingembre, tabasco, daurade, pain toasté - Servi avec Twisted potatoes ou Légumes ou Salade mêléeOrigin: Grèce","La Table de Vallotton by Novae","b+","d","","Grèce","22","25","25","25","","","","","E 22.00 CHFD 25.00 CHFC 25.00 CHFV 25.00 CHF","10/21/2022"
"[Les Douceurs] Sélection de desserts ""signature"" à l'assiette","La Table de Vallotton by Novae","","","","","7","8","8","8","","","","","E 7.00 CHFD 8.00 CHFC 8.00 CHFV 8.00 CHF","10/21/2022"
"Chili Con Carne (bœuf) , riz basmati aux épices Cajun","Le Klee by Novae","a","e","","","10","11","13","12","","","","","E 10.00 CHFD 11.00 CHFC 12.00 CHFV 13.00 CHF","10/21/2022"
"Etudiant(e)","Maharaja - Food Truck","","","","","6.5","","","","","","E 6.50","","E 6.50 CHF","10/21/2022"
"Lasagne de boeuf aux petits légumes, gratiné au parmesan","Microcity","a","c","","","10.5","12","14","13","","","","","E 10.50 CHFD 12.00 CHFC 13.00 CHFV 14.00 CHF","10/21/2022"
"Mushroom vol-au-vent with seitan and carrots","Microcity","b+","b","","","10.5","12","14","13","","","","","E 10.50 CHFD 12.00 CHFC 13.00 CHFV 14.00 CHF","10/21/2022"
"Omelette au gruyère et fines herbes, pommes de terre rôties","Microcity","b-","b","","","8.1","8.8","11.3","9.9","","","","","E 8.10 CHFD 8.80 CHFC 9.90 CHFV 11.30 CHF","10/21/2022"
"Salade Niçoise: tomates, poivrons, oeufs, pommes de terre, haricots verts, crudités et thon","Microcity","b+","b","","","12","12","12","12","","","","","E 12.00 CHFD 12.00 CHFC 12.00 CHFV 12.00 CHF","10/21/2022"
"Saumon Suisse, risotto Carnaroli, brocolis et vierge acidulée","Montreux Jazz Café","c","c","","","","","","","","","","","Starter/main course0.00 CHFStarter/main course/dessert0.00 CHF","10/21/2022"
"Bowl Végétarien","Montreux Jazz Café","b+","d","","","","","","","","","","","Montreux Jazz Café","10/21/2022"
"BB BURGER","Montreux Jazz Café","c-","e","","","","","","","","","","","Montreux Jazz Café","10/21/2022"
"Risotto our way, herb juice
Pan-fried wild mushrooms and peas
Herb juice","Native","a-","d","","","11.3","12.1","14.1","12.6","","","","","D 12.10 CHFC 12.60 CHFV 14.10 CHFE 11.30 CHF","10/21/2022"
"Buffet Vegan et Végétarien Froid et chaud
Salade, Légumineuses, Céréales, 
Racines, Légumes frais, Champignons
Origin: suisse vegetarian","Native","","","1","suisse vegetarian","","","","","2.5","","","","2.50 CHF/100g","10/21/2022"
"Fais ta galette:
(Cheddar, Caviar d'aubergines, Tomates rôties, Roquette, Panner grillé, Jambon cru ) Origin: CH","Niki","b+","d","","CH","","","","","","","9.50","","9.50 CHF","10/21/2022"
"Notre bar à crêpes toute la journée 
(Caramel beurre salé, banane, citron sucre, Chocolat...)","Niki","c-","c","","","","","","","","","5.00","","5.00 CHF","10/21/2022"
"Gaufre party toute la journée 
(Caramel beurre salé, banane, citron sucre, Chocolat...)","Niki","c-","d","","","","","","","","","5.00","","5.00 CHF","10/21/2022"
"Grilled beef flank steak, béarnaise sauce, green beans, grilled potatoesOrigin: Suisse","Ornithorynque","a-","d","","Suisse","12","13.5","15.5","14.5","","","","","E 12.00 CHFD 13.50 CHFC 14.50 CHFV 15.50 CHF","10/21/2022"
"Cannelloni aux épinards et ricotta, sauce tomate et mozzarella  vegetarian","Ornithorynque","a-","c","1","","8","9.5","10.9","9.9","","","","","E 8.00 CHFD 9.50 CHFC 9.90 CHFV 10.90 CHF","10/21/2022"
"[Orni'Burger] Steak haché de bœuf, cheddar fondu, tomates, batavia - servi avec fritesOrigin: Suisse","Ornithorynque","b","d","","Suisse","9.5","10.5","12","11","","","","","E 9.50 CHFD 10.50 CHFC 11.00 CHFV 12.00 CHF","10/21/2022"
"[Salad'Bar Veggie] Végétarien et vegan - Composez vous-même votre salade - Sélection de salades composées, crudités, légumineuses, céréales, condiments, protéines végétales vegetarian","Ornithorynque","b","b","1","","","","","","2.5"," 2.30","","","2.50 CHF/100gE 2.30 CHF","10/21/2022"
